127.0.0.1 -- [2021-11-13 15:40:31,734]: GET /aniket.html HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 15:53:06,978]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 22:03:11,543]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 22:16:39,164]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 22:26:24,027]:  "GET /aniket.html HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,574]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,574]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,575]:  "PUT /new8.html HTTP/1.1" 201 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,575]:  "PUT /new9.html HTTP/1.1" 201 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,576]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:34:13,576]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,369]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,370]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,370]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,370]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,371]:  GETT /index.html HTTP/1.1" 501 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,371]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:50:16,381]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,284]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,284]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,299]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,299]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,300]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,300]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-13 23:54:27,301]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,720]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,721]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,721]:  "PUT /new8.html HTTP/1.1" 201 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,722]:  "PUT /new9.html HTTP/1.1" 201 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,722]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,723]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:08:14,723]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,479]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,480]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,480]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,481]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,481]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,481]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,482]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:27:56,482]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,948]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,949]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,949]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,950]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,950]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,951]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,960]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,961]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

